box,site,sp1,sp2,sp3,visit,date,sp1eggs,sp2eggs,sp3eggs,stage,fate,hatched,done
1,1,COGO,,,1,130,1,,,0,1,0,
1,1,COGO,,,2,140,10,,,1,1,0,
1,1,COGO,,,3,165,10,,,25,1,0,
1,1,COGO,,,4,168,2,,,28,1,1,1
2,1,UNOC,,,1,130,0,,,,0,0,
2,1,COME,,,2,151,,,,,1,0,
2,1,COME,BUFF,COGO,3,167,9,2,1,27,1,0,
2,1,COME,BUFF,COGO,4,171,9,2,1,28,1,0,
2,1,COME,BUFF,COGO,5,174,9,2,0,29,1,0,
2,1,COME,BUFF,COGO,6,176,9,1,0,31,1,0,
2,1,COME,BUFF,COGO,7,177,1,0,0,32,1,1,1
3,1,UNOC,,,1,130,0,,,,0,0,
3,1,COGO,BUFF,,2,151,14,1,,12,1,0,
3,1,COGO,BUFF,,3,153,14,1,,13,1,0,
3,1,COGO,BUFF,,4,157,14,1,,21,1,0,
3,1,COGO,BUFF,,5,162,14,1,,21,1,0,
3,1,COGO,BUFF,,6,167,14,1,,23,1,0,
3,1,COGO,BUFF,,7,170,14,1,,25,1,0,
3,1,COGO,BUFF,,8,173,1,0,,28,1,1,1
4,1,COGO,,,1,130,12,,,3,1,0,
4,1,COGO,,,2,160,1,,,,0,1,1
5,1,COGO,,,1,130,13,,,0,1,0,
5,1,COGO,,,2,140,14,,,9,1,0,
5,1,COGO,,,3,159,5,,,28,1,1,1
6,12,UNOC,,,1,135,0,,,,0,0,
6,12,COGO,,,2,149,3,,,0,1,0,
6,12,COGO,,,3,154,6,,,3,1,0,
6,12,COGO,,,4,177,6,,,25,1,0,
6,12,COGO,,,5,180,1,,,28,1,1,1
7,1,COGO,,,1,130,7,,,0,1,0,
7,1,COGO,,,2,140,10,,,9,1,0,
7,1,COGO,,,3,158,10,,,25,1,0,
7,1,COGO,,,4,160,10,,,27,1,0,
7,1,COGO,,,5,161,1,,,28,1,1,1
8,3,UNOC,,,1,131,0,,,,0,0,
8,3,COGO,BUFF,,2,146,1,1,,0,1,0,
8,3,COGO,BUFF,,3,147,1,1,,0,1,0,
8,3,COGO,BUFF,,4,150,2,1,,0,1,0,
8,3,COGO,BUFF,,5,153,2,1,,1,1,0,
8,3,COGO,BUFF,,6,157,2,1,,1,0,0,1
9,3,COGO,,,1,131,3,,,0,1,0,
9,3,COGO,,,2,147,6,,,7,1,0,
9,3,COGO,,,3,166,6,,,27,1,0,
9,3,COGO,,,4,167,3,,,28,1,1,1
10,3,BUFF,COGO,,1,131,6,1,,0,1,0,
10,3,BUFF,COGO,,2,163,8,2,,25,1,0,
10,3,BUFF,COGO,,3,166,1,1,,,0,1,1
11,12,UNOC,,,1,131,0,,,0,0,0,
11,12,COGO,,,2,150,8,,,9,1,0,
