box,site,sp1,sp2,sp3,band,recap,new,plast,webtag,outcome
1,1,COGO,,,1106-02944,1,0,,,marked
2,1,COME,BUFF,COGO,1467-15243,1,0,,,marked
3,1,COGO,BUFF,,1046-51741,0,1,,,marked
4,1,COGO,,,1106-02572,1,0,,,missed
5,1,COGO,,,1106-02637,1,0,,,marked
6,12,COGO,,,1046-51738,0,1,,,marked
7,1,COGO,,,1106-02856,1,0,,,marked
8,3,COGO,BUFF,,,,,,,dump
9,3,COGO,,,1106-02954,1,0,,,marked
10,3,BUFF,COGO,,635-00440,1,0,,,missed
11,12,COGO,,,1106-02724,1,0,,,marked
12,3,UNOC,,,,,,,,unoccupied
13,3,UNOC,,,,,,,,unoccupied
14,3,BUFF,,,635-00447,1,0,,,marked
15,6,COGO,,,1106-02876,1,0,,,marked
16,8,UNOC,,,,,,,,unoccupied
17,8,COGO,,,1046-51701,1,0,,,marked
18,8,COGO,,,1106-02861,1,0,,,marked
19,7,UNOC,,,,,,,,unoccupied
20,7,COGO,,,1046-51714,0,1,,,marked
21,7,UNOC,,,,,,,,unoccupied
22,10,COGO,,,1046-51740,0,1,1577-2089,A-749,marked
23,17,BOOW,,,1046-51732,0,1,,,marked
24,11,COME,,,,,,,,n-abandon
25,23,COGO,,,1106-02932,1,0,,,marked
26,12,COGO,,,,,,,,dump
27,11,UNOC,,,,,,,,unoccupied
28,12,UNOC,,,,,,,,unoccupied
29,11,COGO,,,1106-02956,1,0,,,marked
30,14,RDSQ,,,,,,,,squirrel
31,15,COGO,,,1106-02893,1,0,,,marked
32,16,BUFF,,,635-00453,1,0,,,marked
33,16,UNOC,,,,,,,,unoccupied
34,16,BUFF,COGO,,635-00456,0,1,,,marked
35,19,COGO,,,1046-51716,1,0,1577-20577,,marked
36,17,COGO,,,1046-51737,0,1,,A535,marked
37,12,COGO,,,1046-51724,0,1,,,r-abandon
38,17,UNOC,,,,,,,,unoccupied
39,17,UNOC,,,,,,,,unoccupied
40,12,COGO,,,1106-02596,1,0,,,missed
41,13,BOOW,COGO,,1046-51715,0,1,,,marked
42,13,COGO,,,1106-02874,1,0,,,marked
43,5,UNOC,,,,,,,,unoccupied
44,5,UNOC,,,,,,,,unoccupied
45,20,COGO,,,1046-51745,0,1,,,marked
46,20,UNOC,,,,,,,,unoccupied
47,20,RDSQ,,,,,,,,squirrel
48,20,UNOC,,,,,,,,unoccupied
49,20,UNOC,,,,,,,,unoccupied
50,20,BUFF,COGO,,635-00455,0,1,,,r-abandon
51,19,COGO,,,1106-02914,1,0,,,marked
52,1,COGO,BUFF,,1046-51746,0,1,,,marked
53,2,COGO,,,,,,,,dump
54,2,COGO,,,1106-02858,1,0,,,n-abandon
55,2,UNOC,,,,,,,,unoccupied
56,2,COGO,,,1106-02875,1,0,,,marked
57,2,COGO,,,1106-02889,1,0,,,marked
58,2,UNOC,,,,,,,,unoccupied
59,3,UNOC,,,,,,,,unoccupied
60,3,UNOC,,,,,,,,unoccupied
61,4,UNOC,,,,,,,,unoccupied
62,4,BOOW,,,1106-02850,1,0,,,marked
63,4,COGO,,,1046-51725,0,1,,,marked
64,5,UNOC,,,,,,,,unoccupied
65,5,UNOC,,,,,,,,unoccupied
66,6,UNOC,,,,,,,,unoccupied
67,15,UNOC,,,,,,,,unoccupied
68,15,UNOC,,,,,,,,unoccupied
69,18,COGO,,,1046-51733,0,1,,,marked
