box,site,sp,eggnum,hatched,marked,webtag,plast,band
1,1,COGO,1,1,1,8-341,,
1,1,COGO,2,1,1,8-342,,
1,1,COGO,3,1,1,8-343,,
1,1,COGO,4,1,1,8-344,,
1,1,COGO,5,1,1,8-345,,
1,1,COGO,6,1,1,8-346,,
1,1,COGO,7,1,1,8-347,,
1,1,COGO,8,1,0,,,
1,1,COGO,9,1,0,,,
1,1,COGO,10,,,,,
2,1,COME,1,1,1,8-571,,
2,1,COME,2,1,1,8-572,,
2,1,COME,3,1,1,8-573,,
2,1,COME,4,1,1,8-574,,
2,1,COME,5,1,1,8-575,,
2,1,COME,6,1,1,8-576,,
2,1,COME,7,1,1,8-578,,
2,1,COME,8,1,1,8-579,,
2,1,BUFF,9,1,1,8-577,,
2,1,COGO,10,1,1,8-541,,
2,1,COME,11,0,0,,,
2,1,BUFF,12,,,,,
3,1,COGO,1,1,1,8-520,,
3,1,COGO,2,1,1,8-521,,
3,1,COGO,3,1,1,8-522,,
3,1,COGO,4,1,1,8-523,,
3,1,COGO,5,1,1,8-524,,
3,1,COGO,6,1,1,8-525,,
3,1,COGO,7,1,1,8-526,,
3,1,COGO,8,1,1,8-527,,
3,1,COGO,9,1,1,8-528,,
3,1,COGO,10,1,1,8-529,,
3,1,BUFF,11,1,1,8-530,,
3,1,COGO,12,1,1,8-531,,
3,1,COGO,13,1,1,8-532,,
3,1,COGO,14,1,1,8-533,,
3,1,COGO,15,0,,,,
4,1,COGO,1,1,0,,,
4,1,COGO,2,1,0,,,
4,1,COGO,3,1,0,,,
4,1,COGO,4,1,0,,,
4,1,COGO,5,1,0,,,
4,1,COGO,6,1,0,,,
4,1,COGO,7,1,0,,,
4,1,COGO,8,1,0,,,
4,1,COGO,9,1,0,,,
4,1,COGO,10,1,0,,,
4,1,COGO,11,1,0,,,
4,1,COGO,12,0,,,,
5,1,COGO,1,1,1,8-068,,
5,1,COGO,2,1,1,8-069,,
5,1,COGO,3,1,1,8-070,,
5,1,COGO,4,1,1,8-071,,
5,1,COGO,5,1,1,8-072,,
5,1,COGO,6,1,1,8-073,,
5,1,COGO,7,1,1,8-074,,
5,1,COGO,8,1,1,8-075,,
5,1,COGO,9,1,1,8-076,,
5,1,COGO,10,0,,,,
5,1,COGO,11,0,,,,
5,1,COGO,12,0,,,,
5,1,COGO,13,0,,,,
5,1,COGO,14,0,,,,
6,12,COGO,1,1,1,8-586,,
6,12,COGO,2,1,1,8-587,,
6,12,COGO,3,1,1,8-588,,
6,12,COGO,4,1,1,8-589,,
6,12,COGO,5,1,1,8-590,,
6,12,COGO,6,1,0,,,
7,1,COGO,1,1,1,8-200,,
7,1,COGO,2,1,1,8-201,,
7,1,COGO,3,1,1,8-202,,
7,1,COGO,4,1,1,8-203,,
7,1,COGO,5,1,1,8-204,,
7,1,COGO,6,1,1,8-205,,
7,1,COGO,7,1,1,8-206,,
7,1,COGO,8,1,1,8-207,,
7,1,COGO,9,1,1,8-208,,
7,1,COGO,10,0,,,,
8,3,COGO,1,0,,,,
8,3,COGO,2,0,,,,
8,3,BUFF,3,0,,,,
9,3,COGO,1,1,1,8-310,,
9,3,COGO,2,1,1,8-311,,
9,3,COGO,3,1,1,8-312,,
9,3,COGO,4,1,0,8-313,,
9,3,COGO,5,0,,,,
9,3,COGO,6,0,,,,
10,3,BUFF,1,1,0,,,
10,3,BUFF,2,1,0,,,
10,3,BUFF,3,1,0,,,
10,3,BUFF,4,1,0,,,
10,3,BUFF,5,1,0,,,
10,3,BUFF,6,1,0,,,
10,3,BUFF,7,1,0,,,
10,3,BUFF,8,1,0,,,
10,3,COGO,9,1,0,,,
10,3,COGO,10,1,0,,,
11,12,COGO,1,1,1,8-077,,
11,12,COGO,2,1,1,8-078,,
11,12,COGO,3,1,1,8-079,,
11,12,COGO,4,1,1,8-080,,
11,12,COGO,5,1,1,8-081,,
11,12,COGO,6,1,1,8-082,,
11,12,COGO,7,1,1,8-083,,
11,12,COGO,8,1,1,8-084,,
11,12,COGO,9,1,1,8-085,,
11,12,COGO,10,1,1,8-086,,
11,12,COGO,11,1,1,8-087,,
11,12,COGO,12,1,1,8-088,,
12,3,UNOC,,,,,,
13,3,UNOC,,,,,,
14,3,BUFF,1,1,1,8-462,,
14,3,BUFF,2,1,1,8-463,,
14,3,BUFF,3,1,1,8-464,,
14,3,BUFF,4,1,1,8-465,,
14,3,BUFF,5,1,1,8-466,,
14,3,BUFF,6,1,1,8-467,,
14,3,BUFF,7,1,1,8-468,,
14,3,BUFF,8,1,1,8-469,,
15,6,COGO,1,1,1,8-331,,
15,6,COGO,2,1,1,8-332,,
15,6,COGO,3,1,1,8-333,,
15,6,COGO,4,1,1,8-334,,
15,6,COGO,5,1,1,8-335,,
15,6,COGO,6,1,1,8-336,,
15,6,COGO,7,1,1,8-337,,
15,6,COGO,8,1,1,8-338,,
15,6,COGO,9,1,1,8-339,,
15,6,COGO,10,1,1,8-340,,
16,8,UNOC,,,,,,
17,8,COGO,1,1,1,8-299,,
17,8,COGO,2,1,1,8-300,,
17,8,COGO,3,1,1,8-301,,
17,8,COGO,4,1,1,8-302,,
17,8,COGO,5,1,1,8-303,,
17,8,COGO,6,1,1,8-304,,
17,8,COGO,7,1,1,8-305,,
17,8,COGO,8,1,1,8-306,,
17,8,COGO,9,1,1,8-307,,
17,8,COGO,10,1,1,8-308,,
17,8,COGO,11,1,1,8-309,,
17,8,COGO,12,1,0,,,
17,8,COGO,13,0,,,,
18,8,COGO,1,1,1,8-019,,
18,8,COGO,2,1,1,8-020,,
18,8,COGO,3,1,1,8-021,,
18,8,COGO,4,1,1,8-022,,
18,8,COGO,5,1,1,8-023,,
18,8,COGO,6,1,1,8-024,,
18,8,COGO,7,1,1,8-025,,
18,8,COGO,8,1,1,8-026,,
18,8,COGO,9,0,,,,
18,8,COGO,10,0,,,,
18,8,COGO,11,0,,,,
19,7,UNOC,,,,,,
20,7,COGO,1,1,1,8-140,,
20,7,COGO,2,1,1,8-141,,
20,7,COGO,3,1,1,8-142,,
20,7,COGO,4,1,1,8-143,,
20,7,COGO,5,1,1,8-144,,
20,7,COGO,6,1,1,8-145,,
20,7,COGO,7,1,1,8-146,,
